entity_type,dep_label,role_name,count,percent
NATURE,nsubj,Active Subject,14,34.1
NATURE,pobj,Object of Preposition,7,17.1
NATURE,dobj,Direct Object,4,9.8
NATURE,conj,Conjoined Element,4,9.8
NATURE,poss,Possession modifier,3,7.3
NATURE,ROOT,Root,2,4.9
NATURE,npadvmod,Noun phrase as adverbial modifier,2,4.9
NATURE,dep,Unclassified dependent,1,2.4
NATURE,attr,Attribute,1,2.4
NATURE,nsubjpass,Passive Subject,1,2.4
NATURE,punct,Punctuation,1,2.4
NATURE,appos,Appositive,1,2.4
WEATHER,pobj,Object of Preposition,147,37.3
WEATHER,nsubj,Active Subject,128,32.5
WEATHER,conj,Conjoined Element,40,10.2
WEATHER,dobj,Direct Object,30,7.6
WEATHER,appos,Appositive,10,2.5
WEATHER,npadvmod,Noun phrase as adverbial modifier,8,2.0
WEATHER,nsubjpass,Passive Subject,7,1.8
WEATHER,poss,Possession modifier,5,1.3
WEATHER,attr,Attribute,4,1.0
WEATHER,dep,Unclassified dependent,4,1.0
WEATHER,compound,Compound,3,0.8
WEATHER,oprd,Object predicate,2,0.5
WEATHER,ROOT,Root,2,0.5
WEATHER,punct,Punctuation,2,0.5
WEATHER,pcomp,Complement of preposition,1,0.3
WEATHER,advcl,Adverbial clause modifier,1,0.3
FAUNA,nsubj,Active Subject,15,26.3
FAUNA,dobj,Direct Object,12,21.1
FAUNA,pobj,Object of Preposition,11,19.3
FAUNA,conj,Conjoined Element,7,12.3
FAUNA,poss,Possession modifier,4,7.0
FAUNA,dep,Unclassified dependent,3,5.3
FAUNA,appos,Appositive,3,5.3
FAUNA,attr,Attribute,1,1.8
FAUNA,nsubjpass,Passive Subject,1,1.8
FLORA,pobj,Object of Preposition,42,48.8
FLORA,nsubj,Active Subject,13,15.1
FLORA,conj,Conjoined Element,12,14.0
FLORA,dobj,Direct Object,9,10.5
FLORA,appos,Appositive,4,4.7
FLORA,attr,Attribute,3,3.5
FLORA,nsubjpass,Passive Subject,2,2.3
FLORA,compound,Compound,1,1.2
LANDSCAPE,pobj,Object of Preposition,185,50.4
LANDSCAPE,nsubj,Active Subject,65,17.7
LANDSCAPE,conj,Conjoined Element,45,12.3
LANDSCAPE,dobj,Direct Object,27,7.4
LANDSCAPE,appos,Appositive,16,4.4
LANDSCAPE,poss,Possession modifier,8,2.2
LANDSCAPE,attr,Attribute,4,1.1
LANDSCAPE,dep,Unclassified dependent,4,1.1
LANDSCAPE,compound,Compound,3,0.8
LANDSCAPE,npadvmod,Noun phrase as adverbial modifier,2,0.5
LANDSCAPE,ROOT,Root,2,0.5
LANDSCAPE,nsubjpass,Passive Subject,2,0.5
LANDSCAPE,punct,Punctuation,2,0.5
LANDSCAPE,parataxis,Parataxis,1,0.3
LANDSCAPE,amod,Adjectival modifier,1,0.3
